ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
558,119-2,SFZ12; MDM11,,,MDM11 42,SFZ12 1493-9L,18 39 34.58,-05 44 23.1,26.4737,0.0119,WC8,SFZ12; MDM11,,,,,,,,18.36,,17.55,11.83,10.49,9.56,,,,2.19,RC20 (a flag)
559,119-3,SFZ12,,,SFZ12 1487-212L,,18 39 42.53,-06 41 46.4,25.64,-0.46,WN7,SFZ12,,,,,,,,,,,13.27,11.5,10.5,,,,,
560,120-11,SFZ12,,,SFZ12 1495-32L,,18 41 23.35,-05 40 58.2,26.7308,-0.3629,WC8,SFZ12,,,,,,,,17.97,17.39,18.48,12.35,11.15,10.25,,,,2.66,"RC20 (n,a flags)"
561,120-7,SFZ12; MDM11,,,MDM11 43,SFZ12 1503-160L,18 41 34.07,-05 04 01.3,27.2987,-0.1207,WN7,SFZ12; MDM11,,,,,,,,19.18,,15.07,10.22,9.21,8.51,,,,2.93,RC20 (n flag)
562,120-12,SFZ12,,,SFZ12 1513-111L,SCB12 2w05,18 43 17.28,-03 20 23.7,29.03,0.29,WC7:; WC8,SFZ12; SCB12,,,,,,,,,,,17.69,14.65,12.54,,,,,
563,120-13,SFZ12,,,SFZ12 1522-55L,,18 43 39.65,-02 29 35.9,29.83,0.59,WC9,SFZ12,,,,,,,,,,,13.41,12.24,11.47,,,,,
564,120-10,SFZ12; MDM11,,,MDM11 46,SFZ12 1517-138L,18 43 58.03,-02 45 17.3,29.6287,0.4043,WN7,SFZ12; MDM11,,,,,,,,17.96,16.25,14.12,10,9.16,8.53,,,,2.59,RC20
565,121-5,SFZ12,,,SFZ12 1527-13L,SCB12 2w07,18 47 38.33,-02 06 38.9,30.62,-0.12,WC8,SFZ12; SCB12,,,,,,,,,,,16.48,12.8,10.44,,,W43/RM10 SFC17?,,
566,121-4,SFZ12; MDM11,,,MDM11 49,SFZ12 1528-15L,18 49 32.31,-02 24 27.0,30.57,-0.68,WC7; WC8,"SFZ12, RC15; MDM11",,,,,,,,,,,14.13,12.13,10.66,,,G30.6-0.6,,
567,121-6,SFZ12,,,SFZ12 1536-180L,,18 51 10.76,-01 30 03.5,31.5666,-0.6269,WN5,SFZ12,,,,,,,,17.26,15.51,13.98,10.42,9.76,9.34,,,,2.86,RC20
568,122-6,SFZ12,,,SFZ12 1551-19L,,18 52 32.97,+00 14 26.8,33.27,-0.14,WC8:,SFZ12,,,,,,,,,,,16.91,13.62,11.78,,,,,
569,122-7,SFZ12,,,SFZ12 1563-66L,,18 55 44.44,+01 36 43.9,34.86,-0.22,WC8:,SFZ12,,,,,,,,,,,16.56,13.29,11.45,,,,,
570,122-8,SFZ12,,,SFZ12 1563-89L,,18 56 02.04,+01 36 32.9,34.89,-0.29,WC7:,SFZ12,,,,,,,,,,,17.13,14.32,12.55,,,,,
571,122-9,SFZ12,,,SFZ12 1567-51L,,18 56 07.90,+02 20 49.0,35.56,0.03,WC7:,SFZ12,,,,,,,,,,,14.72,12.27,10.87,,,RM10 SFC21?,,
572,122-10,SFZ12,,,SFZ12 1583-64L,,19 00 59.99,+03 55 35.6,37.52,-0.33,WC7:,SFZ12,,,,,,,,,,,17.49,14.8,12.79,,,W47/RM10 SFC22?,,
573,122-4,SFZ12; MDM11,,,MDM11 53,SFZ12 1583-48L,19 01 26.62,+03 51 55.55,37.51,-0.46,WC8,SFZ12; MDM11,,,,,,,,,,,14.7,12.67,11.25,,,W47/RM10 SFC22?,,
574,122-5,SFZ12; MDM11,,,MDM11 54,SFZ12 1583-47L,19 01 27.11,+03 51 54.4,37.51,-0.46,WC8,SFZ12; MDM11,,,,,,,,,,,14.25,12.27,10.99,,,W47/RM10 SFC22?,,
575,123-4,SFZ12,,,SFZ12 1603-75L,,19 04 33.49,+06 05 18.5,39.84,-0.13,WC8,SFZ12,,,,,,,,,,,16.31,14.38,13.68,,,,,
576,124-8,SFZ12,,,SFZ12 1650-96L,,19 13 24.01,+11 43 24.3,45.85,0.53,WN6,SFZ12,,,,,,,,,,,8.61,7.99,7.8,,,,,
577,124-3,SFZ12; MDM11,,,MDM11 56,SFZ12 1657-51L,19 16 18.38,+12 46 49.3,47.1162,0.3939,WC7; WC8,"SFZ12, RC15; MDM11",,,,,,,,,,17.72,12.96,11.82,10.77,,,,3.66,"RC20 (n,a flags)"
578,124-9,SFZ12,,,SFZ12 1670-57L,,19 17 32.80,+14 08 28.0,48.4606,0.762,WC6:,SFZ12,,,,,,,,,,18.84,13.9,12.72,11.67,,,,2.66,"RC20 (n,e,a flags)"
579,124-4,SFZ12; MDM11,,,MDM11 57,SFZ12 1652-24L,19 17 41.21,+11 29 18.9,46.13,-0.51,WC7,SFZ12; MDM11,,,,,,,,,,,15.29,13,11.53,,,,,
580,124-10,SFZ12,,,SFZ12 1669-24L,,19 18 31.71,+13 43 17.9,48.2,0.36,"WC6:, WC6d",SFZ12; W19,,,,,,,,,,,14.35,12.59,11.33,,,,,
581,124-6,SFZ12; MDM11,,,MDM11 59,SFZ12 1675-17L,19 22 53.61,+14 08 49.8,49.0744,-0.3797,WC7; WC6,"SFZ12, MDM11; RC15",,,,,,,,,,18.83,12.67,10.91,9.68,,,W51/RM10 SFC24?,2.73,"RC20 (n,a flags)"
582,124-7,SFZ12; MDM11,,,MDM11 60,SFZ12 1675-10L,19 22 54.45,+14 11 27.9,49.1147,-0.362,WC8; WC7,"SFZ12, RC15; MDM11",,,,,,,,,,18.48,12.83,11.02,9.58,,,W51/RM10 SFC24?,2.88,"RC20 (n,a flags)"
583,124-11,SFZ12,,,SFZ12 1698-70L,,19 24 46.91,+17 14 25.0,52.0148,0.6826,WN6; WN6b,SFZ12; RC15,,,,,,,,,,18.45,12.65,11.19,10.25,,,G52.04+0.55,2.45,"RC20 (e,a flags)"
584,20-Jan,MDM11,,,MDM11 1,,10 23 28.79,-57 46 29.4,284.2178,-0.3823,WN7-8,MDM11,,,,,,,,,,15.9,10.6,9.2,8.34,,,RCW49/RM10 SFC26?,2.72,RC20
585,46-15,MDM11,,,MDM11 2,,12 15 12.48,-62 46 43.9,298.8024,-0.198,WN8,MDM11,,,,,,,,,,20.49,13.13,11.03,9.84,,,,1.99,"RC20 (n,a flags)"
586,48-6,MDM11,,,MDM11 3,,13 12 09.05,-62 43 26.7,305.3024,0.0523,WN8-9; WN9,MDM11; RC15,,,,,,,,,,16.32,10.21,8.57,7.58,,,G305 complex,3.02,"RC20 (e,a flags)"
587,48-7,MDM11,,,MDM11 5,,13 12 25.46,-62 44 41.8,305.332,0.029,WN9; WN8,MDM11; RC15,,,,,,,,20.13,,15.06,9.81,8.48,7.65,Danks 1 ,,G305 complex,2.61,RC20
588,48-8,MDM11,,,MDM11 7,DCT12 D1-5,13 12 28.49,-62 41 51.0,305.3416,0.0758,WN9; WCLh,MDM11; DCT11,,,,,,,,,,13.98,9.81,8.83,8.15,Danks 1:,,G305 complex,3.22,RC20
589,48-9,MDM11,,,MDM11 8,DCT12 D1-1,13 12 28.55,-62 41 43.8,305.3419,0.0778,WN9h; WNLh,MDM11; DCT11,,,,,,,,,,12.61,8.26,7.27,6.61,Danks 1:,,G305 complex,2.78,RC20
590,49-1,MDM11,,,MDM11 9,,13 14 57.04,-62 23 53.3,305.65,0.35,WN8,MDM11,,,,,,,,,,,13.82,11.88,10.67,,,,,
591,57-1,MDM11,,,MDM11 10,,13 44 06.95,-62 45 02.1,308.92,-0.49,WN7,MDM11,,,,,,,,,,,15.01,12.77,11.46,,,,,
592,60-3,MDM11,,,MDM11 11,,14 01 15.49,-62 38 19.9,310.86,-0.85,WC7,MDM11,eclipse (3.73d?),W19,,,,,,,,,14.87,12.84,11.56,,,,,
593,60-4,MDM11,,,MDM11 12,,14 04 36.67,-61 29 16.5,311.55,0.15,WC8; WC8ed,MDM11; Wil19,Ep Dust (P=0.76y?),Wil19,,,,,,,,,15.58,12.71,11,,,RM10 SFC31?,,
594,61-3,MDM11,,,MDM11 13,,14 20 30.74,-60 48 22.2,313.5837,0.2101,WC9,MDM11,,,,,,,,,,20.5,13.62,11.63,10.38,,,G313.5+0.2?,0.91,"RC20 (e,a flags)"
595,70-6,MDM11,,,MDM11 14,,15 53 31.85,-53 45 44.3,327.88,0.05,WN5b; WN6b,MDM11; RC15,,,,,,,,,,,15.16,12.51,10.97,,,G327.9+0.0/RM10 SFC33?,,
596,70-7,MDM11,,,MDM11 15,,15 58 49.71,-52 51 32.4,329.07,0.23,WN6b,MDM11,,,,,,,,,,,15.94,13.05,11.36,,,,,
597,70-8,MDM11,,,MDM11 16,,15 58 54.93,-52 02 45.5,329.6,0.84,WN7,MDM11,,,,,,,,,,,15.64,12.59,10.91,,,,,
598,70-9,MDM11,,,MDM11 17,,16 00 23.26,-52 51 42.3,329.24,0.08,WC8,MDM11,,,,,,,,,,,15.56,12.87,11.31,,,G329.3+0.2,,
599,74-1,MDM11,,,MDM11 19,,16 20 51.43,-50 04 03.3,333.48,-0.04,WN9ha,MDM11,,,,,,,,,,,15.5,12.28,10.59,,,G333.1-0.4/RM10 SFC34?,,
600,74-2,MDM11,,,MDM11 20,,16 24 23.29,-49 21 29.5,334.38,0.05,WN7,MDM11,,,,,,,,,,,15.64,12.9,11.43,,,,,
601,75-6,MDM11,,,MDM11 21,,16 28 53.42,-48 33 39.4,335.47,0.08,WN5b,MDM11,,,,,,,,,,,14.65,12.8,11.76,,,,,
602,75-7,MDM11,,,MDM11 22,,16 32 22.05,-47 47 42.5,336.43,0.18,WC9; WC9d,MDM11; W19,,,,,,,,,,,14.97,12.96,11.63,,,,,
603,75-8,MDM11,,,MDM11 23,,16 33 11.20,-48 19 41.2,336.13,-0.28,WN4-5b; WN4b,MDM11; RC15,,,,,,,,,,,15,12.44,10.9,,,,,
604,75-11,MDM11,,,MDM11 26,,16 35 05.55,-47 17 13.5,337.11,0.19,WC9d?; WC9ed,MDM11; W19,,,,,,,,,,,13.6,11.62,10.46,,,RM10 SFC37?,,
605,75-12,MDM11,,,MDM11 27,,16 35 38.88,-47 09 13.0,337.27,0.21,WN6,MDM11,,,,,,,,,,,15.02,12.85,11.49,,,RM10 SFC37?,,
606,76-1,MDM11,,,MDM11 29,,16 40 50.78,-45 51 23.1,338.84,0.41,WN9,MDM11,,,,,,,,,,,14.84,12,10.42,,,G338.926+0.554/RM10 SFC40?,,
607,77-3,MDM11,,,MDM11 30,,16 47 46.03,-45 59 04.9,339.5264,-0.5833,WN6,MDM11,,,,,,,,,,16.84,11.12,9.84,9.1,,,G339.5-0.5,2.7,"RC20 (n,e,a flags)"
608,77-4,MDM11,,,MDM11 31,,16 48 27.58,-46 09 27.1,339.47,-0.79,WN5; WN6,MDM11; RC15,,,,,,,,,,,14.14,11.85,10.59,,,,,
609,84-1,MDM11,,,MDM11 32,[DBS2003] 179 #20,17 11 33.03,-39 10 39.7,347.578,0.184,WN8-9; WN9,"MDM1, BGH12; RC15",,,,,,,,,,,12.37,10.43,9.19,[DBS2003] 179,,G347.6+0.2,7.9,BGH12
610,111-5,MDM11,,,MDM11 33,,18 12 41.10,-18 26 30.4,12.18,-0.12,WN8-9; WN9,MDM11; RC15,,,,,,,,,,,13.8,11.97,10.92,,,G12.2-0.1,,
611,111-4,MDM11; MDF11,,,MDM11 34,MDF11 #7,18 13 22.49,-17 53 50.3,12.7355,-0.0067,WN6; WN7o; WN7,MDM11; MDF11; RC15,,,,,,,,18.63,15.6,15.18,10.3,9.27,8.66,Cl 1813-178,,,2.37,RC20
612,115-3,MDM11,,,MDM11 36,,18 26 06.12,-13 04 10.6,18.4386,-0.428,WN7,MDM11,,,,,,,,15.86,,13.27,9.59,8.82,8.3,,,,2.68,RC20
613,116-3,MDM11,,,MDM11 37,,18 30 53.20,-10 19 37.2,21.4114,-0.191,WN6; WN6ha,MDM11; RC15,,,,,,,,17.24,,14.09,10.68,9.91,9.43,,,,2.89,RC20
614,118-5,MDM11,,,MDM11 40,,18 37 51.49,-06 08 41.8,25.9177,0.2057,WC9d,MDM11,,,,,,,,,,19.22,12.73,10.74,9.31,,,RM10 SFC12?,2.87,"RC20 (n,a flag)"
615,120-8,MDM11,,,MDM11 44,,18 42 02.55,-03 56 26.3,28.35,0.29,WN8-9; WN9,MDM11; RC15,,,,,,,,,,,12.86,10.82,9.66,,,,,
616,120-9,MDM11,,,MDM11 45,,18 43 32.57,-04 04 19.0,28.41,-0.1,WN7; WN7ha,MDM11; RC15,,,,,,,,,,,15.15,12.55,11.14,,,,,
617,121-2,MDM11,,,MDM11 47,,18 44 51.57,-03 21 49.6,29.19,-0.07,WN7,MDM11,,,,,,,,,,,14.22,12.23,11.13,,,,,
618,121-3,MDM11,,,MDM11 48,,18 44 51.61,-03 27 43.7,29.1,-0.12,WN7,MDM11,,,,,,,,,,,13.81,11.87,10.73,,,,,
619,122-2,MDM11,,,MDM11 51,,18 52 43.69,+00 08 41.6,33.208,-0.221,WN8-9; WN9,MDM11; RC15,,,,,,,,,,19.63,12.49,10.68,9.61,,,,2.21,"RC20 (e,a flag)"
620,122-3,MDM11,,,MDM11 52,,18 54 03.12,+01 24 50.8,34.4884,0.0633,WN5-6; WN6,MDM11; RC15,,,,,,,,,,19.48,12.81,11.06,9.99,,,,2.41,"RC20 (n,e,a flags)"
621,123-3,MDM11,,,MDM11 55,,19 08 38.09,+09 28 20.9,43.3129,0.5291,WN8,MDM11,,,,,,,,,,18.28,12.22,10.81,9.94,,,,3.18,"RC20 (n,a flag)"
622,124-5,MDM11,,,MDM11 58,,19 20 29.32,+14 12 06.1,48.85,0.16,WC8-9d?,MDM11,,,,,,,,,,,14.34,11.98,10.63,,,,,
623,125-4,MDM11,,,MDM11 61,,19 30 05.31,+17 46 01.0,53.0809,-0.1785,WN7,MDM11,,,,,,,,,,19.17,12.71,11.07,9.14,,,,2.96,"RC20 (n,a flags)"
624,48-10,DCT12,,,DCT12 D1-2,,13 12 24.97,-62 42 00.2,305.3347,0.0738,WNLh; WN9h,DCT11; RC15,,,,,,,,,,14.39,9.42,8.15,7.48,Danks 1,,G305 complex,2.52,RC20
625,101ai,VIIa,,,AFNWNW,PGM06 E81,17 45 39.306,-29 00 30.68,359.942,-0.0442,WN7,PGM06,,,,,,,,,,,,,12.6,Galactic Centre,,,8,
626,102-2,LHO09,,,LHO09 76,,17 46 14.15,-28 49 35.4,0.163,-0.058,WC9d,"LHO09, CLP18",,,,,,,,,,,,,10.3,Quintuplet,,,8,Re93
627,102-3,LHO09,,,qF 250,LHO09 79,17 46 15.39,-28 49 34.6,0.165,-0.064,WC9d,"LHO09, CLP18",,,,,,,,,,,,,9.3,Quintuplet,,,8,Re93
628,76-9,DFN12,,,Mercer 81-3,,16 40 30.08,-46 23 11.4,338.4,0.1,WN7-8,DFN12,,,,,,,,,,,,12.97,10.82,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
629,142-1,LGM11,,,WR142b,[KW97] 46-60,20 28 14.55,43 39 25.4,81.5746,2.9134,WN6o,LGM11,,,,,,,,15.7,,12.8,8.77,7.86,7.19,,,,1.77,RC20
630,46-16,RMM11,,,RMM 5,,12 11 54.06,-63 17 03.8,298.5056,-0.7529,WN9,RMM11,,,,,,,,,,18.34,13.44,12.05,11.54,,Dragonfish,RM10 SFC29,2.47,RC20
631,84-7,BGH12,,,[DBS2003] 179 #4,,17 11 31.88,-39 10 46.9,347.574,0.185,Ofpe/WN9,BGH12,,,,,,,,,,,12.08,10.14,9.18,[DBS2003] 179,,G347.6+0.2,7.9,BGH12
632,84-6,BGH12,,,[DBS2003] 179 #15,,17 11 31.80,-39 10 46.8,347.574,0.186,WN8-9,BGH12,,,,,,,,,,,12.5,10.53,9.57,[DBS2003] 179,,G347.6+0.2,7.9,BGH12
633,76-7,"DFN12, FND12",,,Mercer 81-2,,16 40 29.65,-46 23 29.1,338.4,0.1,WN7-8,FND12,,,,,,,,,,,,13.25,10.59,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
634,76-8,DFN12,,,Mercer 81-4,,16 40 29.65,-46 23 28.7,338.4,0.1,WN7-8:,RC15 (DFN12),,,,,,,,,,,,13.44,10.95,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
635,76-2,"DFN12, FND12",,,Mercer 81-5,,16 40 28.35,-46 23 25.6,338.4,0.1,WN7-8,FND12,,,,,,,,,,,,14.13,11.42,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
636,76-4,"DFN12, FND12",,,Mercer 81-6,,16 40 29.32,-46 23 11.6,338.4,0.1,O super; WN9ha,FND12; RC15,,,,,,,,,,,,13.46,11.42,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
637,76-6,"DFN12, FND12",,,Mercer 81-7,,16 40 29.60,-46 23 25.6,338.4,0.1,WN7-8,FND12,,,,,,,,,,,,13.55,11.45,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
638,76-3,DFN12; FND12,,,Mercer 81-8,,16 40 28.94,-46 23 27.1,338.4,0.1,Of/WN; WN8,FND12; RC15,,,,,,,,,,,,14.27,11.46,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
639,76-5,DFN12; FND12,,,Mercer 81-9,,16 40 29.32,-46 23 38.2,338.4,0.1,O super; WN9ha,FND12; RC15,,,,,,,,,,,,13.76,11.82,Mercer 81,,G338.4+0.2/RM10 SFC39,11,DFN12
640,42-1,RL12,,,WR42e,RFS 5,11 14 45.50,-61 15 00.3,291.5735,-0.5287,O3If*/WN6,RFS16,,,,,,,16.31,16.05,14.53,13.45,10.18,9.47,9.04,NGC 3603,,G291.6-0.5/RM10 SFC28?,4.34,RC20
641,45-5,CBB12,,,VVV CL009-6,,11 56 03.75,-63 18 54.4,296.7621,-1.1086,WN7/Of,CBB12,,,,,,,,,,13.6,10.55,9.93,9.65,VVV CL009,,,6.27,RC20
642,46-17,CBB12,,,VVV CL011-2,,12 12 41.12,-62 42 30.7,298.5065,-0.1702,WN9/OIf+,CBB12,,,,,,,,,,16.47,11.72,10.6,10.05,VVV CL011,Dragonfish,RM10 SFC29,2.89,"RC20 (n,e,a flags)"
643,60-6,CBB12,,,VVV CL036-9,,14 09 04.30,-61 15 53.78,312.12,0.21,WN6,CBB12,,,,,,,,,,,13.37,10.66,9.16,VVV CL036,,,2,CBB12
644,75-25,CBB12,,,VVV CL073-2,,16 30 23.73,-48 13 05.48,335.89,0.13,WN9/O4-6If+,CBB12,,,,,,,,,,,15.4,12.51,11.08,VVV CL073,,G335.9+0.2,4,CBB12
645,75-26,CBB12,,,VVV CL073-4,,16 30 23.98,-48 13 05.48,335.89,0.13,WN7,CBB12,,,,,,,,,,,14.71,11.53,9.5,VVV CL073,,G335.9+0.2,4,CBB12
646,75-27,CBB12,,,VVV CL074-2,,16 32 05.27,-47 49 14.25,336.38,0.2,WC8,CBB12,,,,,,,,,,,16.92,13.23,10.31,VVV CL074,,,6,CBB12
647,75-28,CBB12,,,VVV CL074-3,,16 32 05.46,-47 49 28.10,336.37,0.2,WN8,CBB12,,,,,,,,,,,14.72,11.82,10.17,VVV CL074,,,6,CBB12
648,75-29,CBB12,,,VVV CL074-9,,16 32 05.93,-47 49 30.92,336.37,0.19,WN7/O4-6If+; O4-6If+,CBB12; MCB19,,,,,,,,,,,15.22,12.53,11.31,VVV CL074,,,6,CBB12
649,84-8,CBB12,,,VVV CL099-4,,17 14 24.71,-38 09 49.35,348.73,0.33,WN6+O,CBB12,,,,,,,,,,,12.62,10.93,9.91,VVV CL099,,,4,
650,84-9,CBB12,,,VVV CL099-5,,17 14 25.40,-38 09 50.5,348.7277,0.3255,WN6,CBB12,,,,,,,,,,20.38,13.43,11.7,10.64,VVV CL099,,,0.35,RC20 (a flag)
651,84-10,CBB12,,,VVV CL099-7,,17 14 25.65,-38 09 53.8,348.7274,0.3243,WC8,CBB12,,,,,,,,,,18.47,11.67,10.06,9.26,VVV CL099,,,2.13,"RC20 (e,a flags)"
652,120-14,SCB12,,,SCB12 2w03,,18 42 22.17,-03 05 39.6,29.1,0.6,WC8,SCB12,,,,,,,,,,,14.45,12.88,11.64,,,,,
653,120-15,SCB12,,,SCB12 2w04,,18 43 17.23,-03 08 56.7,29.2004,0.3752,WC8,SCB12,,,,,,,,,,18.2,12.69,11.37,10.66,,,,3.01,"RC20 (n,e,a flags)"
654,121-7,SCB12,,,SCB12 2w06,KSF14 1519-E43,18 45 49.90,-02 59 56.3,29.624,-0.121,WC8; WC7,SCB12; KSF14,,,,,,,,,,,16.25,13.2,11.27,,,,,
655,121-8,SCB12,,,SCB12 2w08,,18 47 57.34,-01 27 36.9,31.2,0.11,WC8,SCB12,,,,,,,,,,,18.91,14.85,12.14,,,,,
656,121-9,SCB12,,,SCB12 2w09,,18 48 24.50,-02 06 16.2,30.7,-0.29,WC8,SCB12,,,,,,,,,,,17.75,13.9,11.47,,,W43/RM10 SFC17?,,
657,121-10,SCB12,,,SCB12 2w10,KSF14 1541-3C8,18 50 02.77,-00 32 08.1,32.297,0.066,WC8,SCB12; KSF14,,,,,,,,,,,16.68,14.12,12.23,,,RM10 SFC18?,,
658,123-5,SCB12,,,SCB12 2w11,KSF14 1627-A6D,19 10 11.53,08 58 39.6,43.1,-0.04,WC7,SCB12,,,,,,,,,,,16.31,13.6,11.73,,,W49A/G43.2+0.0,,
659,62-1,AGK11,,,,AX J144701-5919,14 46 53.56,-59 19 38.3,317.1882,0.3106,WN7-8h,AGK11,,,,,,,,,,14.65,8.93,7.6,6.82,,,,2.3,"RC20 (e,a flags)"
660,43-2,RL13,,,MTT 58,RFS 2,11 15 07.57,-61 16 54.7,291.6263,-0.5422,O2If*/WN5,RFS16,,,,,,,,16.14,14.76,13.77,10.47,9.68,9.24,NGC 3603,,G291.6-0.5/RM10 SFC28,6.16,RC20
661,122-1,CVM10,,,,IPHAS J190015.86+000517.3,19 00 15.86,+00 05 17.3,34.017,-1.9236,WC8; WC8d,CVM10; W19,,,,,,,,,,14.9,12.18,11.3,10.3,,,,4.63,RC20
662,125-2,CVM10,,,,IPHAS J193038.84+183909.8,19 30 38.84,+18 39 09.7,53.9216,0.1304,WN8-9,VCM10,,,,,,,,,,12.44,8.21,7.28,6.6,,,,3.28,RC20
663,67-3,MMV13,,,G321.0331-0.4274,,15 15 39.42,-58 08 16.1,321.0331,-0.4274,WN10,MMV13,,,,,,,,,,13.47,9.37,8.46,7.74,,,,2.93,RC20
664,105-1,FSZ14,,,WR 1343-193E,,18 02 46.23,-22 36 39.7,7.408,-0.124,WN6,FSZ14,,,,,,,,,,,14.926,12.69,11.447,,,,,
665,122-11,FSZ14,,,WR 1583-B73,,19 00 05.09,03 47 27.1,37.291,-0.192,WN6,"FSZ14, RHR18",,,,,,,,,,,16.46,13.64,11.82,,,W47/RM10 SFC22?,,
666,124-12,FSZ14,,,WR 1667-D00,,19 20 50.49,13 18 41.1,48.102,-0.334,WN7,FSZ14,,,,,,,,,,,14.687,12.951,11.947,,,,,
667,108-1,FSZ14,,,WR 1361-1583,,18 07 05.16,-20 15 16.7,9.9538,0.1556,WN9,FSZ14,,,,,,,,,,19.44,14.867,12.671,11.162,,,,2.22,RC20 (e flag)
668,102-22,FSZ14,,,WR 1327-14AF,,17 59 02.27,-24 17 00.1,5.531,-0.209,WC7; WC7d,FSZ14; W19,,,,,,,,,,,14.401,12.238,10.875,,,,,
669,71-1,KSF14,,,KSF14 1040-B6C,,16 04 03.78,-53 10 44.5,329.4397,-0.5392,WN9,KSF14,,,,,,,,,,18.85,13.134,11.899,11.171,,,,2.63,"RC20 (n,e,a flags)"
671,75-30,KSF14,,,KSF14 1093-1765,RC17 A13,16 32 25.70,-47 50 46.1,336.3959,0.1395,"WN6, WN7o","KSF14, RC17",,,,,,,,,,,15.149,12.925,11.571,,,,,
672,78-1,KSF14,,,KSF14 1139-49EA,,16 54 08.46,-43 49 25.3,341.91,-0.073,WC6::,KSF14,,,,,,,,,,,16.289,14.528,13.086,,,,,
673,82-2,KSF14,,,KSF14 1178-66B,,17 07 23.95,-39 19 54.5,346.9756,0.7374,WC9,KSF14,,,,,,,,,,18.51,12.494,11.124,10.259,,,,2.02,"RC20 (e,a flags)"
674,84-11,KSF14,,,KSF14 1176-B49,,17 12 34.87,-40 37 13.7,346.5293,-0.8268,WN9h,KSF14,,,,,,,,,,18.36,12.661,11.218,10.409,,,,3.27,"RC20 (n,a flags)"
675,85-1,KSF14,,,KSF14 1198-6EC8,,17 15 55.9,-37 19 12.0,349.587,0.575,WC6::,KSF14,,,,,,,,,,,16.152,14.681,13.467,,,,,
676,98-2,KSF14,,,KSF14 1256-1483A,,17 40 59.35,-32 11 22.3,356.708,-0.86,WN9,KSF14,,,,,,,,,,,13.98,12.46,11.86,,,,,
677,102-23,KSF14,,,KSF14 1319-3BC0,,17 57 16.87,-25 23 13.8,4.376,-0.416,WC7:,KSF14,,,,,,,,,,,14.885,12.717,11.462,,,,,
678,102-24,KSF14,,,KSF14 1338-2B3,,17 59 07.99,-22 36 43.0,6.991,0.605,WN9,KSF14,,,,,,,,,,,12.608,10.477,9.212,,,,,
680,105-2,KSF14,,,KSF14 1343-284,,18 03 28.36,-22 22 59.0,7.6859,-0.1525,WN8-9,KSF14,,,,,,,,17.9,,14.5,10.474,9.6,9.018,,,,2.38,RC20
682,108-2,KSF14,,,KSF14 1366-438,,18 05 55.27,-19 29 44.1,10.483,0.765,WN7-8,KSF14,,,,,,,,,,,15.964,12.429,10.395,,,,,
683,111-9,KSF14,,,KSF14 1381-19L,,18 12 02.42,-18 06 55.3,12.392,0.167,WC9,KSF14,,,,,,,,15.48,13.86,13.63,9.66,8.26,7.8,,,,3.17,RC20 (e flag)
684,111-10,KSF14,,,KSF14 1389-4AB6,,18 14 14.11,-17 21 02.8,13.3135,0.07489,WC7; WC7d,KSF14; W19,,,,,,,,,,19.49,16.131,14.264,12.239,,,,1.23,RC20
685,111-11,KSF14,,,KSF14 1389-1F5D,,18 14 17.37,-17 21 54.4,13.307,0.057,WN8,KSF14,,,,,,,,,,,17.567,13.277,11.052,,,,,
688,117-2,KSF14,,,KSF14 1457-673,,18 31 06.65,-09 48 01.4,21.904,0.004,WC9d,KSF14,,,,,,,,,,,14.849,11.444,9.352,,,,,
689,118-10,KSF14,,,KSF14 1485-6C4,,18 36 55.53,-06 31 02.1,25.4805,0.2406,WN6,KSF14,,,,,,,,,,17.41,12.035,10.809,10.02,,,,0.55,RC20 (a flag)
690,118-11,KSF14,,,KSF14 1485-844,,18 37 51.82,-06 31 19.1,25.583,0.032,WN8,KSF14,,,,,,,,,,,14.724,11.299,9.493,,,RM10 SFC12?,,
691,119-4,KSF14,,,KSF14 1495-1D8A,,18 39 40.60,-05 35 17.6,26.62,0.059,WC8-9,KSF14,,,,,,,,,,,14.639,12.362,11.716,,,,,
692,119-5,KSF14,,,KSF14 1495-705,,18 39 41.19,-05 57 36.3,26.29,-0.113,WN8,KSF14,,,,,,,,,,,14.971,11.381,9.16,,,,,
693,120-16,KSF14,,,KSF14 1514-AA0,,18 41 06.81,-02 56 01.3,29.1438,0.9563,WC8,KSF14,,,,,,,,,,18.72,12.921,11.244,10.537,,,,2.21,"RC20 (e,a flag)"
694,120-17,KSF14,,,KSF14 1509-2E64,,18 42 26.61,-03 56 36.0,28.398,0.199,WC9; WC9d,KSF14; W19,,,,,,,,,,,15.775,14.87,12.446,,,,,
695,121-11,KSF14,,,KSF14 1525-2352,,18 45 14.63,-02 05 05.7,30.37,0.427,WC8:,KSF14,,,,,,,,,,,17.928,14.748,12.444,,,RM10 SFC15?,,
