ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
43,31c,VII,,,SMSP 4,,10 57 42.85,-60 34 00.4,289.4006,-0.7179,WC6,"SM91,SMS99","a, d.e.l.","CM89,SS90,VII",,17.33,16.37,,,,,14.06,11.04,10.343,9.489,,,,6.06,RC20
44,32,VII,,,MS 5,,10 59 52.91,-59 52 43.4,289.3558,0.0196,WC5+OB?,VI,d.e.l.,"CM89,SS90,VII",,17.19,15.9,15.06,,,,14.52,11.717,11.042,10.229,,,,5.77,RC20
45,33,VII,HD 95435,,,,11 00 00.71,-57 48 59.2,288.5127,1.9018,WC5; WC6,SS90; CDB98,,,12.43,12.51,12.35,12.48,,,,11.47,10.62,10.348,9.693,,,,7.59,RC20
46,34,VII,,,LS 5,,11 00 06.45,-61 26 30.1,290.0311,-1.3903,WN5o,SSM96,,,,15.26,14.5,,,,,13.66,11.204,10.586,10.036,,,,7.41,RC20
47,35,VII,,,MS 6,,11 00 21.84,-61 13 52.4,289.9717,-1.186,WN6h+OB?,SSM96,d.e.l.,"CM89,VII",14.72,14.49,13.9,13.37,,,,13.13,,,,,,,6.86,RC20
48,35a,VII,,,SMSP 5,,11 00 24.33,-59 59 35.6,289.463,-0.0574,WN6h+O8.5V,SMS99; GCB14,SB2,GCB14,,14.78,13.92,,,,,12.88,10.467,9.975,9.649,,,,5.84,RC20
49,35b,VII,,,SMSP 6,,11 01 02.08,-60 14 01.0,289.6338,-0.2438,WN4b,SMS99,,,,15.76,14.49,,,,,13.86,10.949,10.351,9.757,Sher 1,,,5.36,RC20
50,36,VII,,,LS 6,,11 02 32.97,-59 26 20.9,289.4818,0.5589,WN5-6b+OB?,SSM96,d.e.l.,"CM89,VII",14.76,14.38,13.7,13.17,,,,12.69,,,,,,,5.43,RC20
51,37,VII,,,MS 7,,11 05 13.89,-61 20 41.1,290.5521,-1.0522,WN4b,SSM96,,,17.77,17,15.77,14.86,,,,14.14,11.027,10.339,9.672,,,RM10 SFC27?,6.71,RC20
52,38,VII,,,MS 8,,11 05 46.43,-61 13 48.6,290.5664,-0.9212,WC4,VI,,,16.83,16.33,15.4,14.73,,,14.66,14.63,11.991,11.497,10.793,C1104-610a,,RM10 SFC27?,6.04,RC20
53,38a,VII,,,SMSP 7,,11 05 48.95,-61 13 41.3,290.5702,-0.9173,WN5o,SMS99,,,,17.04,16.21,,16.33,16.27,15.12,14.44,11.533,11.213,10.705,C1104-610a,,RM10 SFC27?,5.42,RC20
54,38b,VII,,,SMSP 8,,11 06 18.56,-61 14 13.7,290.6283,-0.9022,WC7,SM91; SMS99,"a, d.e.l.","CM89,SS90,VII",,17.71,16.21,,,,,13.74,10.395,9.276,8.608,C1104-610b ?,,RM10 SFC27?,4.32,RC20
55,39,VII,,,MS 9,,11 06 18.72,-61 14 18.4,290.6291,-0.9032,WC7+OB?,SS90,d.e.l.,"CM89,SS90,VII",16.11,15.76,14.5,13.58,,,,12.62,,,,C1104-610b ?,,RM10 SFC27?,3.84,RC20 (e flag)
56,40,VII,HD 96548,HIP 54283,,,11 06 17.20,-65 30 35.3,292.3148,-4.8289,WN8h,SSM96,,"DS87,GV90,MM94,AB95,MMH98,MMEv98,NG99a",7.79,7.79,7.6,7.51,7.1,7.86,7.69,7.46,6.622,6.407,6.107,,,,3.83,RC20
57,41,VII,,,LS 7,,11 07 54.06,-61 27 40.8,290.8917,-1.0338,WC5+OB?,SS90,d.e.l.,"CM89,SS90,VII",,15.6,14.8,14.36,,,,13.79,,,,,,RM10 SFC27?,6.01,RC20
58,42,VII,HD 97152,HIP 54574,,,11 10 04.07,-60 58 44.9,290.9469,-0.4884,WC7+O7V,HH88,SB2 (P=7.89d),"DM81,SD87,SM89,LM96,NG99a; HMS00",,8.31,8.25,,7.44,8.18,8.05,7.92,7.589,7.519,7.084,,,RM10 SFC27?,2.44,RC20
59,42a,VII,,,SMSP 9,,11 12 15.73,-61 05 04.8,291.2328,-0.4859,WN5b,SMS99,,,,19.07,17.61,,,,,15.28,12.083,11.312,10.814,,,RM10 SFC28?,5.63,RC20
60,42b,VII,,,SMSP 10,,11 13 03.61,-62 14 18.4,291.7498,-1.5218,WN4b,SMS99,,,,19.39,16.96,,,,,14.81,11.349,10.521,9.9,,,,6.33,RC20
